P,Census Region,State,Interconnect,Country,cap_reg_mult,source
p193,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
p194,mex,CAM_CHP_TAB,mexico,mex,1,ReEDS
p195,mex,CAM_CHP_TAB,mexico,mex,1,ReEDS
p196,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
p197,mex,CAM_CHP_TAB,mexico,mex,1,ReEDS
p198,mex,YUC,mexico,mex,1,ReEDS
p199,mex,ROO,mexico,mex,1,ReEDS
p200,mex,ROO,mexico,mex,1,ReEDS
p201,mex,BCN,mexico,mex,1,ReEDS
p202,mex,BCN,mexico,mex,1,ReEDS
p203,mex,BCN,mexico,mex,1,ReEDS
p204,mex,BCN,mexico,mex,1,ReEDS
p205,mex,BCS,mexico,mex,1,ReEDS
none,US,HI,US,usa,1,data not available
