data label (bold = stored in excel),year,pop_VIS19,popD_VIS19,d_p_VIS19,S_d_VIS19,S_VIS19,f_ICEG_sedan_VIS19,f_ICED_sedan_VIS19,f_HEV_sedan_VIS19,f_PHEV_sedan_VIS19,f_BEV_sedan_VIS19,f_FCEV_sedan_VIS19,f_ICEG_LT_VIS19,f_ICED_LT_VIS19,f_HEV_LT_VIS19,f_PHEV_LT_VIS19,f_BEV_LT_VIS19,f_FCEV_LT_VIS19,F_sedan_VIS19,F_LT_VIS19,g_p_VIS19,d_TEDB20,d_a_TEDB20,d_Default,d_a_Default
91,2060,404483000,331886984.3,0.820521466,0.054748534,18170326,0.672815579,0.014734725,0.078424312,0.029673812,0.201750303,0.002601268,0.818706679,0.058061246,0.031319848,0.038793099,0.049413469,0.003705659,0.598532302,0.401467698,86318.49299,,,14285.6,0.0204
92,2061,405994919.4,333000000,0.820207308,0.054712474,18219254,0.671683319,0.014734725,0.078424312,0.029884843,0.202651098,0.002621702,0.816987753,0.058061246,0.031803167,0.039420239,0.050004709,0.003722886,0.597295308,0.402704692,87451.61405,,,14285.6,0.0204
93,2062,407253503.7,334000000,0.820127996,0.05467847,18262609,0.670551059,0.014734725,0.078424312,0.030095873,0.203551894,0.002642136,0.815268827,0.058061246,0.032286485,0.04004738,0.050595949,0.003740112,0.596058314,0.403941686,88651.52951,,,14285.6,0.0204
94,2063,408515989.6,335000000,0.820041341,0.054644701,18305975,0.669418799,0.014734725,0.078424312,0.030306904,0.204452689,0.00266257,0.813549902,0.058061246,0.032769804,0.04067452,0.05118719,0.003757338,0.59482132,0.40517868,90421.45417,,,14285.6,0.0204
95,2064,409782389.1,336000000,0.819947389,0.054611167,18349352,0.668286539,0.014734725,0.078424312,0.030517935,0.205353484,0.002683004,0.811830976,0.058061246,0.033253123,0.041301661,0.05177843,0.003774565,0.593584326,0.406415674,91653.01136,,,14285.6,0.0204
96,2065,411052714.5,337000000,0.819846185,0.054577864,18392740,0.667105264,0.014734725,0.078424312,0.030777982,0.206254279,0.002703438,0.810112051,0.058061246,0.033736441,0.041928801,0.05236967,0.003791791,0.592347333,0.407652667,92896.74816,,,14285.6,0.0204
97,2066,412326977.9,338000000,0.819737776,0.054544787,18436138,0.66607412,0.014734725,0.078424312,0.031038028,0.207004942,0.002723872,0.808697595,0.058061246,0.034123146,0.042446491,0.052864658,0.003806864,0.592404112,0.407595888,94152.71867,,,14285.6,0.0204
98,2067,413605191.6,339000000,0.819622207,0.054514327,18480357,0.665042977,0.014734725,0.078424312,0.031298075,0.207755605,0.002744306,0.807283139,0.058061246,0.034509851,0.042964181,0.053359646,0.003821937,0.592460892,0.407539108,95420.97793,,,14285.6,0.0204
99,2068,414887367.7,340000000,0.819499523,0.054484079,18524587,0.664011834,0.014734725,0.078424312,0.031558121,0.208506267,0.00276474,0.805868683,0.058061246,0.034896556,0.04348187,0.053854635,0.00383701,0.592517671,0.407482329,96701.58183,,,14285.6,0.0204
100,2069,416173518.5,341000000,0.81936977,0.054454041,18568828,0.662980691,0.014734725,0.078424312,0.031818168,0.20925693,0.002785174,0.804454227,0.058061246,0.03528326,0.04399956,0.054349623,0.003852083,0.592574451,0.407425549,97994.58233,,,14285.6,0.0204
101,2070,417297187,342000000,0.819559802,0.054424208,18613079,0.661900532,0.014734725,0.078424312,0.03212723,0.210007593,0.002805608,0.803039771,0.058061246,0.035669965,0.04451725,0.054844611,0.003867156,0.592631231,0.407368769,99300.03227,,,14285.6,0.0204
102,2071,418423889.4,343000000,0.81974287,0.05439116,18656168,0.660970506,0.014734725,0.078424312,0.032436292,0.210608123,0.002826042,0.801929785,0.058061246,0.035960056,0.044925489,0.055243347,0.003880076,0.591440094,0.408559906,100616.3538,,,14285.6,0.0204
