Balancing Authority,Date,Averaged Demand (MwH)
CISO,04/06/2020 7:00:00 AM 7,21282
CISO,04/06/2020 8:00:00 AM 8,21823
CISO,04/06/2020 9:00:00 AM 9,22323
CISO,04/06/2020 10:00:00 AM 10,22351
CISO,04/06/2020 11:00:00 AM 11,21894
CISO,04/06/2020 12:00:00 PM 12,21947
CISO,04/06/2020 1:00:00 PM 13,22092
CISO,04/06/2020 2:00:00 PM 14,21851
CISO,04/06/2020 3:00:00 PM 15,21424
CISO,04/06/2020 4:00:00 PM 16,21484
CISO,04/06/2020 5:00:00 PM 17,21829
CISO,04/06/2020 6:00:00 PM 18,22583
CISO,04/06/2020 7:00:00 PM 19,23971
CISO,04/06/2020 8:00:00 PM 20,25149
CISO,04/06/2020 9:00:00 PM 21,25098
CISO,04/06/2020 10:00:00 PM 22,24100
CISO,04/06/2020 11:00:00 PM 23,22660
CISO,04/07/2020 12:00:00 AM 24,21144
CISO,04/07/2020 1:00:00 AM 1,20420
CISO,04/07/2020 2:00:00 AM 2,19609
CISO,04/07/2020 3:00:00 AM 3,19117
CISO,04/07/2020 4:00:00 AM 4,19073
CISO,04/07/2020 5:00:00 AM 5,19529
CISO,04/07/2020 6:00:00 AM 6,20610
CISO,04/07/2020 7:00:00 AM 7,22084
CISO,04/07/2020 8:00:00 AM 8,22534
CISO,04/07/2020 9:00:00 AM 9,22223
CISO,04/07/2020 10:00:00 AM 10,21149
CISO,04/07/2020 11:00:00 AM 11,20206
CISO,04/07/2020 12:00:00 PM 12,19995
CISO,04/07/2020 1:00:00 PM 13,19880
CISO,04/07/2020 2:00:00 PM 14,19923
CISO,04/07/2020 3:00:00 PM 15,20012
CISO,04/07/2020 4:00:00 PM 16,20666
CISO,04/07/2020 5:00:00 PM 17,21480
CISO,04/07/2020 6:00:00 PM 18,22396
CISO,04/07/2020 7:00:00 PM 19,23638
CISO,04/07/2020 8:00:00 PM 20,24720
CISO,04/07/2020 9:00:00 PM 21,24796
CISO,04/07/2020 10:00:00 PM 22,23967
CISO,04/07/2020 11:00:00 PM 23,22485
CISO,04/08/2020 12:00:00 AM 24,21009
CISO,04/08/2020 1:00:00 AM 1,20012
